pdf_file,page_number,county,precinct,source_format,massie_absentee_mail_in,massie_absentee_walk_in,massie_early_voting,massie_election_day_voting,massie_total,gallrein_absentee_mail_in,gallrein_absentee_walk_in,gallrein_early_voting,gallrein_election_day_voting,gallrein_total
data\precinct_pdfs\precinct_10.pdf,1,Boone County,A102,vote_type_breakdown,2,0,14,65,81,4,1,8,115,128
data\precinct_pdfs\precinct_10.pdf,3,Boone County,A103,vote_type_breakdown,6,6,28,184,224,9,7,26,207,249
data\precinct_pdfs\precinct_10.pdf,5,Boone County,A104,vote_type_breakdown,5,6,32,151,194,7,6,44,212,269
data\precinct_pdfs\precinct_10.pdf,7,Boone County,A105,vote_type_breakdown,4,6,15,116,141,0,11,10,152,173
data\precinct_pdfs\precinct_10.pdf,9,Boone County,A106,vote_type_breakdown,1,1,5,78,85,1,0,5,110,116
data\precinct_pdfs\precinct_10.pdf,11,Boone County,A107,vote_type_breakdown,1,1,4,41,47,2,0,2,53,57
data\precinct_pdfs\precinct_10.pdf,14,Boone County,A108,vote_type_breakdown,1,1,15,111,128,7,2,21,152,182
data\precinct_pdfs\precinct_10.pdf,16,Boone County,A109,vote_type_breakdown,8,2,8,126,144,0,2,12,151,165
data\precinct_pdfs\precinct_10.pdf,18,Boone County,A110,vote_type_breakdown,5,2,10,113,130,4,0,8,142,154
data\precinct_pdfs\precinct_10.pdf,20,Boone County,A111,vote_type_breakdown,1,3,4,91,99,9,6,27,150,192
data\precinct_pdfs\precinct_10.pdf,22,Boone County,A112,vote_type_breakdown,1,1,13,77,92,5,3,15,110,133
data\precinct_pdfs\precinct_10.pdf,24,Boone County,A113,vote_type_breakdown,2,2,19,90,113,6,3,31,147,187
data\precinct_pdfs\precinct_10.pdf,26,Boone County,A114,vote_type_breakdown,13,7,37,238,295,14,3,41,286,344
data\precinct_pdfs\precinct_10.pdf,28,Boone County,A115,vote_type_breakdown,8,1,12,127,148,10,1,21,196,228
data\precinct_pdfs\precinct_10.pdf,30,Boone County,A116,vote_type_breakdown,0,4,12,77,93,3,2,19,100,124
data\precinct_pdfs\precinct_10.pdf,32,Boone County,A117,vote_type_breakdown,2,6,19,265,292,12,1,22,296,331
data\precinct_pdfs\precinct_10.pdf,34,Boone County,A118,vote_type_breakdown,7,4,12,207,230,5,1,23,164,193
data\precinct_pdfs\precinct_10.pdf,36,Boone County,A119,vote_type_breakdown,3,0,3,14,20,1,1,12,78,92
data\precinct_pdfs\precinct_10.pdf,39,Boone County,A120,vote_type_breakdown,3,2,25,196,226,13,3,35,227,278
data\precinct_pdfs\precinct_10.pdf,41,Boone County,A121,vote_type_breakdown,5,2,20,272,299,5,8,23,278,314
data\precinct_pdfs\precinct_10.pdf,43,Boone County,A122,vote_type_breakdown,0,3,5,90,98,1,2,14,127,144
data\precinct_pdfs\precinct_10.pdf,45,Boone County,A123,vote_type_breakdown,2,4,15,138,159,0,4,13,175,192
data\precinct_pdfs\precinct_10.pdf,47,Boone County,B114,vote_type_breakdown,1,3,5,147,156,5,1,5,148,159
data\precinct_pdfs\precinct_10.pdf,50,Boone County,B115,vote_type_breakdown,1,4,6,61,72,4,1,16,84,105
data\precinct_pdfs\precinct_10.pdf,53,Boone County,B118,vote_type_breakdown,0,0,3,64,67,5,0,10,99,114
data\precinct_pdfs\precinct_10.pdf,56,Boone County,B120,vote_type_breakdown,4,3,17,96,120,1,1,21,129,152
data\precinct_pdfs\precinct_10.pdf,59,Boone County,B121,vote_type_breakdown,11,0,22,327,360,15,2,31,274,322
data\precinct_pdfs\precinct_10.pdf,62,Boone County,B122,vote_type_breakdown,11,6,10,286,313,14,3,15,296,328
data\precinct_pdfs\precinct_10.pdf,65,Boone County,B123,vote_type_breakdown,9,3,20,239,271,14,8,35,333,390
data\precinct_pdfs\precinct_10.pdf,68,Boone County,B124,vote_type_breakdown,0,1,9,124,134,5,1,6,128,140
data\precinct_pdfs\precinct_10.pdf,71,Boone County,B125,vote_type_breakdown,2,0,13,131,146,5,2,5,132,144
data\precinct_pdfs\precinct_10.pdf,74,Boone County,B126,vote_type_breakdown,1,0,21,265,287,6,5,18,264,293
data\precinct_pdfs\precinct_10.pdf,77,Boone County,B127,vote_type_breakdown,3,0,6,182,191,8,1,8,142,159
data\precinct_pdfs\precinct_10.pdf,80,Boone County,B128,vote_type_breakdown,1,0,7,163,171,0,1,9,160,170
data\precinct_pdfs\precinct_10.pdf,83,Boone County,B129,vote_type_breakdown,4,2,23,225,254,6,1,17,220,244
data\precinct_pdfs\precinct_10.pdf,86,Boone County,B130,vote_type_breakdown,10,3,20,148,181,17,6,22,202,247
data\precinct_pdfs\precinct_10.pdf,89,Boone County,B131,vote_type_breakdown,4,2,32,153,191,5,6,28,132,171
data\precinct_pdfs\precinct_10.pdf,92,Boone County,B132,vote_type_breakdown,5,3,30,181,219,3,3,19,215,240
data\precinct_pdfs\precinct_10.pdf,95,Boone County,B133,vote_type_breakdown,7,6,30,163,206,6,2,23,198,229
data\precinct_pdfs\precinct_10.pdf,98,Boone County,B134,vote_type_breakdown,6,6,10,100,122,7,1,17,187,212
data\precinct_pdfs\precinct_10.pdf,101,Boone County,B135,vote_type_breakdown,0,7,27,268,302,23,5,20,280,328
data\precinct_pdfs\precinct_10.pdf,104,Boone County,B136,vote_type_breakdown,1,0,4,83,88,0,0,7,77,84
data\precinct_pdfs\precinct_10.pdf,107,Boone County,C102,vote_type_breakdown,6,0,13,104,123,9,3,26,132,170
data\precinct_pdfs\precinct_10.pdf,109,Boone County,C110,vote_type_breakdown,7,0,7,56,70,7,0,11,119,137
data\precinct_pdfs\precinct_10.pdf,111,Boone County,C116,vote_type_breakdown,0,0,6,63,69,0,1,14,117,132
data\precinct_pdfs\precinct_10.pdf,114,Boone County,C117,vote_type_breakdown,5,1,13,113,132,7,2,10,144,163
data\precinct_pdfs\precinct_10.pdf,116,Boone County,C118,vote_type_breakdown,5,0,20,162,187,6,4,26,179,215
data\precinct_pdfs\precinct_10.pdf,118,Boone County,C119,vote_type_breakdown,1,0,11,51,63,1,2,32,85,120
data\precinct_pdfs\precinct_10.pdf,121,Boone County,C121,vote_type_breakdown,2,0,7,44,53,3,3,13,66,85
data\precinct_pdfs\precinct_10.pdf,123,Boone County,C123,vote_type_breakdown,0,0,3,42,45,1,1,1,38,41
data\precinct_pdfs\precinct_10.pdf,126,Boone County,C124,vote_type_breakdown,1,2,2,35,40,6,0,16,71,93
data\precinct_pdfs\precinct_10.pdf,129,Boone County,C125,vote_type_breakdown,0,2,1,37,40,4,0,3,60,67
data\precinct_pdfs\precinct_10.pdf,132,Boone County,C126,vote_type_breakdown,1,0,1,17,19,2,0,0,21,23
data\precinct_pdfs\precinct_10.pdf,135,Boone County,C127,vote_type_breakdown,1,1,5,47,54,2,0,9,79,90
data\precinct_pdfs\precinct_10.pdf,138,Boone County,C128,vote_type_breakdown,3,0,9,38,50,0,0,0,62,62
data\precinct_pdfs\precinct_10.pdf,141,Boone County,C129,vote_type_breakdown,1,0,1,61,63,3,1,4,80,88
data\precinct_pdfs\precinct_10.pdf,144,Boone County,C130,vote_type_breakdown,4,5,4,68,81,8,2,8,94,112
data\precinct_pdfs\precinct_10.pdf,147,Boone County,C131,vote_type_breakdown,3,1,5,66,75,3,2,3,60,68
data\precinct_pdfs\precinct_10.pdf,150,Boone County,C132,vote_type_breakdown,2,0,11,55,68,3,0,8,68,79
data\precinct_pdfs\precinct_10.pdf,153,Boone County,C133,vote_type_breakdown,1,0,2,31,34,0,1,2,49,52
data\precinct_pdfs\precinct_10.pdf,155,Boone County,C134,vote_type_breakdown,9,3,12,188,212,10,0,18,234,262
data\precinct_pdfs\precinct_10.pdf,157,Boone County,C135,vote_type_breakdown,1,0,7,65,73,4,1,9,97,111
data\precinct_pdfs\precinct_10.pdf,160,Boone County,C136,vote_type_breakdown,1,5,6,65,77,4,2,5,78,89
data\precinct_pdfs\precinct_10.pdf,162,Boone County,C137,vote_type_breakdown,5,3,9,128,145,10,4,23,175,212
data\precinct_pdfs\precinct_14.pdf,1,Bracken County,A101,vote_type_breakdown,0,20,0,59,79,3,24,0,79,106
data\precinct_pdfs\precinct_14.pdf,5,Bracken County,B101,vote_type_breakdown,0,8,0,32,40,4,20,0,56,80
data\precinct_pdfs\precinct_14.pdf,9,Bracken County,C101,vote_type_breakdown,2,9,0,50,61,4,11,0,49,64
data\precinct_pdfs\precinct_14.pdf,14,Bracken County,D101,vote_type_breakdown,1,31,0,61,93,1,28,0,70,99
data\precinct_pdfs\precinct_14.pdf,18,Bracken County,E101,vote_type_breakdown,1,8,0,46,55,5,12,0,67,84
data\precinct_pdfs\precinct_14.pdf,22,Bracken County,F101,vote_type_breakdown,2,16,0,57,75,5,26,0,52,83
data\precinct_pdfs\precinct_14.pdf,26,Bracken County,G101,vote_type_breakdown,0,20,0,42,62,1,18,0,56,75
data\precinct_pdfs\precinct_14.pdf,30,Bracken County,H101,vote_type_breakdown,0,5,0,40,45,1,4,0,61,66
data\precinct_pdfs\precinct_21.pdf,1,Campbell County,A801,vote_type_breakdown,0,1,11,126,138,5,1,17,142,165
data\precinct_pdfs\precinct_21.pdf,5,Campbell County,A802,vote_type_breakdown,1,2,4,72,79,4,2,17,103,126
data\precinct_pdfs\precinct_21.pdf,9,Campbell County,B803,vote_type_breakdown,4,0,37,201,242,15,3,56,234,308
data\precinct_pdfs\precinct_21.pdf,13,Campbell County,A804,vote_type_breakdown,3,0,24,226,253,4,2,24,283,313
data\precinct_pdfs\precinct_21.pdf,17,Campbell County,B806,vote_type_breakdown,0,3,26,204,233,1,0,37,175,213
data\precinct_pdfs\precinct_21.pdf,21,Campbell County,B807,vote_type_breakdown,1,0,8,85,94,2,0,14,135,151
data\precinct_pdfs\precinct_21.pdf,25,Campbell County,C201,vote_type_breakdown,2,0,5,59,66,3,0,3,85,91
data\precinct_pdfs\precinct_21.pdf,29,Campbell County,C202,vote_type_breakdown,0,0,4,48,52,1,0,0,56,57
data\precinct_pdfs\precinct_21.pdf,33,Campbell County,C203,vote_type_breakdown,0,2,11,95,108,2,0,6,100,108
data\precinct_pdfs\precinct_21.pdf,37,Campbell County,A906,vote_type_breakdown,1,1,12,115,129,3,0,15,124,142
data\precinct_pdfs\precinct_21.pdf,41,Campbell County,B905,vote_type_breakdown,2,0,19,171,192,2,0,41,228,271
data\precinct_pdfs\precinct_21.pdf,45,Campbell County,A701,vote_type_breakdown,0,1,19,91,111,1,0,12,79,92
data\precinct_pdfs\precinct_21.pdf,49,Campbell County,A702,vote_type_breakdown,1,0,20,130,151,2,0,16,98,116
data\precinct_pdfs\precinct_21.pdf,53,Campbell County,B703,vote_type_breakdown,8,0,33,106,147,13,1,30,101,145
data\precinct_pdfs\precinct_21.pdf,57,Campbell County,B704,vote_type_breakdown,5,0,16,117,138,6,2,33,134,175
data\precinct_pdfs\precinct_21.pdf,61,Campbell County,A705,vote_type_breakdown,2,3,20,67,92,0,0,13,85,98
data\precinct_pdfs\precinct_21.pdf,65,Campbell County,B706,vote_type_breakdown,4,1,38,168,211,11,2,68,219,300
data\precinct_pdfs\precinct_21.pdf,69,Campbell County,C101,vote_type_breakdown,1,0,12,75,88,4,0,3,115,122
data\precinct_pdfs\precinct_21.pdf,73,Campbell County,C102,vote_type_breakdown,0,4,3,87,94,1,0,2,83,86
data\precinct_pdfs\precinct_21.pdf,77,Campbell County,C401,vote_type_breakdown,0,0,19,142,161,1,2,16,121,140
data\precinct_pdfs\precinct_21.pdf,82,Campbell County,A402,vote_type_breakdown,5,11,31,252,299,3,4,18,242,267
data\precinct_pdfs\precinct_21.pdf,87,Campbell County,A405,vote_type_breakdown,3,3,19,231,256,3,3,18,199,223
data\precinct_pdfs\precinct_21.pdf,92,Campbell County,A415,vote_type_breakdown,0,0,4,27,31,0,0,2,25,27
data\precinct_pdfs\precinct_21.pdf,97,Campbell County,C416,vote_type_breakdown,1,3,11,56,71,3,0,22,59,84
data\precinct_pdfs\precinct_21.pdf,102,Campbell County,A409,vote_type_breakdown,0,0,7,114,121,1,0,2,75,78
data\precinct_pdfs\precinct_21.pdf,107,Campbell County,A410,vote_type_breakdown,3,2,9,218,232,7,2,12,166,187
data\precinct_pdfs\precinct_21.pdf,112,Campbell County,A412,vote_type_breakdown,0,0,10,126,136,2,1,9,118,130
data\precinct_pdfs\precinct_21.pdf,117,Campbell County,A418,vote_type_breakdown,1,1,14,147,163,0,2,10,113,125
data\precinct_pdfs\precinct_21.pdf,122,Campbell County,A419,vote_type_breakdown,4,0,10,43,57,4,1,4,50,59
data\precinct_pdfs\precinct_21.pdf,127,Campbell County,B904,vote_type_breakdown,2,0,28,215,245,3,1,35,272,311
data\precinct_pdfs\precinct_21.pdf,131,Campbell County,A601,vote_type_breakdown,0,0,11,42,53,0,0,3,30,33
data\precinct_pdfs\precinct_21.pdf,135,Campbell County,B602,vote_type_breakdown,0,2,10,56,68,0,2,4,57,63
data\precinct_pdfs\precinct_21.pdf,139,Campbell County,B603,vote_type_breakdown,1,0,0,41,42,3,0,4,31,38
data\precinct_pdfs\precinct_21.pdf,143,Campbell County,B604,vote_type_breakdown,2,1,20,87,110,5,1,17,105,128
data\precinct_pdfs\precinct_21.pdf,147,Campbell County,A907,vote_type_breakdown,1,1,17,141,160,2,3,15,181,201
data\precinct_pdfs\precinct_21.pdf,151,Campbell County,B901,vote_type_breakdown,3,1,12,190,206,1,0,26,210,237
data\precinct_pdfs\precinct_21.pdf,155,Campbell County,C301,vote_type_breakdown,1,3,10,53,67,1,0,3,44,48
data\precinct_pdfs\precinct_21.pdf,159,Campbell County,C302,vote_type_breakdown,1,1,9,62,73,2,2,9,83,96
data\precinct_pdfs\precinct_21.pdf,163,Campbell County,C303,vote_type_breakdown,3,0,8,44,55,5,3,3,56,67
data\precinct_pdfs\precinct_21.pdf,167,Campbell County,C307,vote_type_breakdown,1,0,12,94,107,5,2,33,126,166
data\precinct_pdfs\precinct_21.pdf,171,Campbell County,C308,vote_type_breakdown,1,3,2,32,38,1,2,3,53,59
data\precinct_pdfs\precinct_21.pdf,175,Campbell County,C501,vote_type_breakdown,1,2,3,100,106,0,1,16,87,104
data\precinct_pdfs\precinct_21.pdf,180,Campbell County,C503,vote_type_breakdown,0,0,10,46,56,1,0,11,40,52
data\precinct_pdfs\precinct_21.pdf,184,Campbell County,C504,vote_type_breakdown,0,1,0,24,25,1,0,4,26,31
data\precinct_pdfs\precinct_21.pdf,188,Campbell County,B903,vote_type_breakdown,1,0,29,221,251,1,0,39,269,309
data\precinct_pdfs\precinct_21.pdf,192,Campbell County,B909,vote_type_breakdown,5,2,22,147,176,4,4,30,204,242
data\precinct_pdfs\precinct_23.pdf,1,Carroll County,A101,vote_type_breakdown,3,0,37,99,139,3,3,55,135,196
data\precinct_pdfs\precinct_23.pdf,5,Carroll County,B102,vote_type_breakdown,2,2,17,71,92,3,0,28,87,118
data\precinct_pdfs\precinct_23.pdf,8,Carroll County,C103,vote_type_breakdown,4,6,44,127,181,5,3,69,166,243
data\precinct_pdfs\precinct_24.pdf,7,Carter County,A103,vote_type_breakdown,0,0,2,21,23,2,0,8,30,40
data\precinct_pdfs\precinct_24.pdf,58,Carter County,E102,vote_type_breakdown,1,0,7,32,40,1,0,2,75,78
data\precinct_pdfs\precinct_24.pdf,64,Carter County,E104,vote_type_breakdown,0,0,4,12,16,0,0,9,35,44
data\precinct_pdfs\precinct_24.pdf,67,Carter County,E105,vote_type_breakdown,0,0,7,30,37,2,0,4,46,52
data\precinct_pdfs\precinct_41.pdf,1,Gallatin County,A101,vote_type_breakdown,1,0,5,20,26,0,0,17,47,64
data\precinct_pdfs\precinct_41.pdf,4,Gallatin County,A102,vote_type_breakdown,6,0,5,18,29,2,0,9,39,50
data\precinct_pdfs\precinct_41.pdf,7,Gallatin County,B101,vote_type_breakdown,0,0,6,41,47,0,0,6,70,76
data\precinct_pdfs\precinct_41.pdf,10,Gallatin County,B102,vote_type_breakdown,0,0,5,50,55,1,2,2,56,61
data\precinct_pdfs\precinct_41.pdf,13,Gallatin County,C101,vote_type_breakdown,0,0,3,57,60,0,0,8,86,94
data\precinct_pdfs\precinct_41.pdf,16,Gallatin County,C102,vote_type_breakdown,0,0,6,61,67,0,0,10,92,102
data\precinct_pdfs\precinct_41.pdf,19,Gallatin County,D101,vote_type_breakdown,0,0,7,55,62,0,0,11,72,83
data\precinct_pdfs\precinct_41.pdf,22,Gallatin County,D102,vote_type_breakdown,0,0,10,74,84,0,5,17,111,133
data\precinct_pdfs\precinct_43.pdf,1,Grant County,A101,vote_type_breakdown,4,6,64,384,458,8,6,126,614,754
data\precinct_pdfs\precinct_43.pdf,5,Grant County,B102,vote_type_breakdown,3,4,59,379,445,6,2,113,594,715
data\precinct_pdfs\precinct_43.pdf,9,Grant County,C103,vote_type_breakdown,6,3,42,386,437,16,6,66,576,664
