county,precinct,registered_voters,ballots_cast,voter_turnout_percent
Boone County,A102 - BELLEVIEW INFORMATION,772,232,30.05%
Boone County,A103 - BULLITTSVILLE INFORMATION,"2,029",566,27.9%
Boone County,A104 - BURLINGTON #1 INFORMATION,"1,757",542,30.85%
Boone County,A105 - BURLINGTON #2 INFORMATION,"1,047",369,35.24%
Boone County,A106 - CARLTON INFORMATION,837,254,30.35%
Boone County,A107 - CONSTANCE INFORMATION,785,139,17.71%
Boone County,A108 - HEBRON #1 INFORMATION,"1,804",405,22.45%
Boone County,A109 - HEBRON #2 INFORMATION,"1,840",396,21.52%
Boone County,A110 - PETERSBURG INFORMATION,999,336,33.63%
Boone County,A111 - BURLINGTON #3 INFORMATION,"1,977",394,19.93%
Boone County,A112 - BURLINGTON #4 INFORMATION,"1,121",285,25.42%
Boone County,A113 - BURLINGTON #5 INFORMATION,"2,258",434,19.22%
Boone County,A114 - HEBRON #3 INFORMATION,"2,572",792,30.79%
Boone County,A115 - BURLINGTON #6 INFORMATION,"2,307",499,21.63%
Boone County,A116 - BURLINGTON #7 INFORMATION,947,266,28.09%
Boone County,A117 - HEBRON #4 INFORMATION,"2,685",792,29.5%
Boone County,A118 - HAMILTON INFORMATION,"1,305",492,37.7%
Boone County,A119 - LIMABURG INFORMATION,931,143,15.36%
Boone County,A120 - BURLINGTON #8 INFORMATION,"2,086",606,29.05%
Boone County,A121 - HEBRON 5 INFORMATION,"2,727",770,28.24%
Boone County,A122 - BURLINGTON #9 INFORMATION,"1,276",302,23.67%
Boone County,A123 - CAMP ERNST INFORMATION,"2,359",466,19.75%
Boone County,B114 - BEAVER INFORMATION,983,359,36.52%
Boone County,B115 - GLENVIEW INFORMATION,812,241,29.68%
Boone County,B118 - LINKVIEW INFORMATION,799,254,31.79%
Boone County,B120 - PLEASANT VALLEY INFORMATION,"1,110",319,28.74%
Boone County,B121 - RICHWOOD INFORMATION,"2,930",845,28.84%
Boone County,B122 - UNION # 1 INFORMATION,"2,978",817,27.43%
Boone County,B123 - UNION # 2 INFORMATION,"3,096",846,27.33%
Boone County,B124 - UNION # 3 INFORMATION,"1,142",356,31.17%
Boone County,B125 - UNION # 4 INFORMATION,"1,485",402,27.07%
Boone County,B126 - VERONA INFORMATION,"1,927",685,35.55%
Boone County,B127 - WALTON #1 INFORMATION,"2,634",441,16.74%
Boone County,B128 - WALTON #2 INFORMATION,"1,839",422,22.95%
Boone County,B129 - UNION 5 INFORMATION,"2,360",625,26.48%
Boone County,B130 - UNION 6 INFORMATION,"1,951",538,27.58%
Boone County,B131 - SUMMITVIEW INFORMATION,"1,713",499,29.13%
Boone County,B132 - HEARTHSTONE INFORMATION,"2,329",577,24.77%
Boone County,B133 - FLORENCE #15 INFORMATION,"2,256",568,25.18%
Boone County,B134 - KENSINGTON INFORMATION,"1,410",414,29.36%
Boone County,B135 - UNION 7 INFORMATION,"2,542",761,29.94%
Boone County,B136 - UNION #8 INFORMATION,820,211,25.73%
Boone County,C102 - DEVON #1 INFORMATION,"2,048",391,19.09%
Boone County,C110 - DEVON #2 INFORMATION,"2,852",299,10.48%
Boone County,C116 - GREENVIEW INFORMATION,"1,311",284,21.66%
Boone County,C117 - DEVON #3 INFORMATION,"1,136",365,32.13%
Boone County,C118 - HOPEFUL INFORMATION,"1,901",520,27.35%
Boone County,C119 - OAKBROOK INFORMATION,888,244,27.48%
Boone County,C121 - SHAMROCK INFORMATION,"1,520",230,15.13%
Boone County,C123 - AIRPORT INFORMATION,723,119,16.46%
Boone County,C124 - FLORENCE #1 INFORMATION,"1,250",208,16.64%
Boone County,C125 - FLORENCE #2 INFORMATION,749,162,21.63%
Boone County,C126 - FLORENCE #3 INFORMATION,"1,177",81,6.88%
Boone County,C127 - FLORENCE #4 INFORMATION,"1,237",206,16.65%
Boone County,C128 - FLORENCE #5 INFORMATION,843,165,19.57%
Boone County,C129 - FLORENCE #6 INFORMATION,"1,248",223,17.87%
Boone County,C130 - FLORENCE #7 INFORMATION,"1,752",294,16.78%
Boone County,C131 - FLORENCE #8 INFORMATION,"1,685",210,12.46%
Boone County,C132 - FLORENCE # 9 INFORMATION,"1,374",219,15.94%
Boone County,C133 - FLORENCE # 10 INFORMATION,716,116,16.2%
Boone County,C134 - FLORENCE #11 INFORMATION,"2,413",620,25.69%
Boone County,C135 - FLORENCE #12 INFORMATION,"1,259",265,21.05%
Boone County,C136 - FLORENCE #13 INFORMATION,849,227,26.74%
Boone County,C137 - FLORENCE #14 INFORMATION,"1,798",501,27.86%
Bracken County,A101 - FOSTER INFORMATION,879,264,30.03%
Bracken County,B101 - AUGUSTA W INFORMATION,706,184,26.06%
Bracken County,C101 - AUGUSTA E INFORMATION,768,229,29.82%
Bracken County,D101 - BERLIN INFORMATION,858,276,32.17%
Bracken County,E101 - CHATHAM INFORMATION,838,239,28.52%
Bracken County,F101 - BROOKSVILLE INFORMATION,812,259,31.9%
Bracken County,G101 - MILFORD INFORMATION,751,203,27.03%
Bracken County,H101 - GERMANTOWN INFORMATION,822,200,24.33%
Campbell County,A402 - FT THOMAS B INFORMATION,"2,444",985,40.3%
